"","date","time","timezone","content","replies","retweets","likes","hashtags"
"8990","2018-04-05","16:38:36","Hora est. Pacífico, Sudamérica","#DebateCaribe muy bien ...  pic.twitter.com/PoPfFPA1nd","0","0","2","#DebateCaribe"
"8991","2018-04-05","16:38:36","Hora est. Pacífico, Sudamérica","Resumen del #debatecaribe #DebatePresidencial A Duque lo están peinando hasta el moderador, Más o menos algo así... pic.twitter.com/TOkcWPKXr2","0","3","5","#debatecaribe,#DebatePresidencial"
"8992","2018-04-05","16:38:36","Hora est. Pacífico, Sudamérica","Duque tiene ancestros en Antioquia, ahora en la costa. Donde hagan debate en el Amazonas dirá que es descendiente de las tribus de la zona #DebateCaribe","0","5","9","#DebateCaribe"
"8993","2018-04-05","16:38:36","Hora est. Pacífico, Sudamérica","@IvanDuque se recuperó en la eonda de preguntas entre candidatos y hundió a @DeLaCalleHum , pero lo hizo con la mentira de la impunidad. De la Calle, ingénuo, no dijo antes que el Centro Democrático fue el que hundió la Justicia de Paz #DebateCaribe","0","0","0","#DebateCaribe"
"8994","2018-04-05","16:38:35","Hora est. Pacífico, Sudamérica","@petrogustavo hoy dando cátedra sobre cambio climático a todos los candidatos en ese #DebateCaribe #PetroGanaElDebate pic.twitter.com/FKSPQGasLy","0","0","0","#DebateCaribe,#PetroGanaElDebate"
"8995","2018-04-05","16:38:35","Hora est. Pacífico, Sudamérica","Yo tengo un sueño! By #MartinLutherDeLaCalle @DeLaCalleHum #DebateCaribe","0","0","0","#MartinLutherDeLaCalle,#DebateCaribe"
"8996","2018-04-05","16:38:35","Hora est. Pacífico, Sudamérica","#DebateCaribe Que hp ahora sí @IvanDuque saca a relucir a su abuela de Cartagena para ""ganar"" votos. No señor, sus ideas nos convencen.A propósito, ¿como vive su abuela? Semejante violada que le pegaron a Duque hoy.","0","0","2","#DebateCaribe"
"8997","2018-04-05","16:38:33","Hora est. Pacífico, Sudamérica","Una coalición Fajardo, De la calle y Petro, mejoraremos un poco a colombia en 4 años de gobierno. #DebateCaribe #CoalicionColombia","0","1","0","#DebateCaribe,#CoalicionColombia"
"8998","2018-04-05","16:38:33","Hora est. Pacífico, Sudamérica","#DebateCaribe Sobre la paz las mejores palabras son las de @DeLaCalleHum cree en lo que dice o lo dice como si lo creyera <Emoji: Smiling face>","0","0","1","#DebateCaribe"
"8999","2018-04-05","16:38:33","Hora est. Pacífico, Sudamérica","#DebateCaribe Fajardo y Petro se deben estar mandando memes por Whatsapp.","0","0","3","#DebateCaribe"
"9000","2018-04-05","16:38:33","Hora est. Pacífico, Sudamérica","""La Costa Caribe colombiana quiere ser parte de un país prospero..quiere emprendimiento, turismo, legalidad, salud"", responde @IvanDuque en el #DebateCaribe","8","34","38","#DebateCaribe"
"9001","2018-04-05","16:38:32","Hora est. Pacífico, Sudamérica","@DeLaCalleHum ataca el centralismo en el #DebateCaribe y dice que las decisiones que desde Bogotá se toman para esta región son las que mantienen rezagado al caribe, esas decisiones conviven con las castas corruptas que han gobernado nuestra pequeña nación.","0","0","0","#DebateCaribe"
