id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,retweet,user_rt
1000540213310083072,2018-05-26,19:52:30,-05,1286532732,TROVADORDIGITAL,"@TicoGavilan @JERobledo @juanpa_soler1 @julianagraciap @ClaudiaLopez @riveraalzate @fajardo_atl @FRANCIAJIMNEZ @compromisobog @centrofajardo Una trova desde Antioquia,le dedico a los centristas,voten pues con  entusiasmo,bogotanos fajardistas. #Presidenciales2018 @sergio_fajardo #LaRemontadaDeFajardo #LaFuerzaDeLaEsperanza #FajardoTienePalabra #ConFajardoGanamos #ColombiaDecide #DebateFinal #SePuede #Bogotá",0,,1,,"['#Presidenciales2018', '#LaRemontadaDeFajardo', '#LaFuerzaDeLaEsperanza', '#FajardoTienePalabra', '#ConFajardoGanamos', '#ColombiaDecide', '#DebateFinal', '#SePuede', '#Bogotá']",https://twitter.com/TROVADORDIGITAL/status/1000540213310083072,False,
1000540193219317762,2018-05-26,19:52:25,-05,925852945257783298,ElyFaraway,#ColombiaDecide Todo aquel que pretenda votar por el Chavista Gustavo Petro no tienen idea de lo que es el comunismoUno de los seres mas despreciables del planeta (F.Castro) y #ForoDeSaoPaulo adoctrinaron al asesino H.Chavez para instaurar el comunismo en Venezuela y destruirla pic.twitter.com/hvMJ5QxDPk,1,,2,,"['#ColombiaDecide', '#ForoDeSaoPaulo']",https://twitter.com/ElyFaraway/status/1000540193219317762,False,
1000540103708762112,2018-05-26,19:52:04,-05,2741729099,HeiberPM,"#NoVotoPorPetro pues hará de Colombia una tercera Cuba, y con él co-gobernaran Maduro, Diosdado, Los Castro, Soros, Evo, Ortega, Timochenko, Santrich, Iván Cepeda, Podemos y los brujos Cubanos. @DELAESPRIELLAE #ColombiaDecide  pic.twitter.com/0uHfuptnQg",2,,0,,"['#NoVotoPorPetro', '#ColombiaDecide']",https://twitter.com/HeiberPM/status/1000540103708762112,False,
1000539859214364672,2018-05-26,19:51:06,-05,544622144,bondanito,#MeDecidíPorPetro para ayudar a construir una verdadera era de paz en Colombia! #PetroPresidente #ColombiaDecide,0,,0,,"['#MeDecidíPorPetro', '#PetroPresidente', '#ColombiaDecide']",https://twitter.com/bondanito/status/1000539859214364672,False,
1000539848023961602,2018-05-26,19:51:03,-05,531773050,P3lito,"@Popeye_leyenda hablando de faketweets, @AlvaroUribeVel  de fake news, ¿Será que este par de buenos muchachos son victimas de fakepositives? #ColombiaDecide",0,,0,,['#ColombiaDecide'],https://twitter.com/P3lito/status/1000539848023961602,False,
1000539818210811910,2018-05-26,19:50:56,-05,3307734191,FVR97943943,@mluciaramirez Cuáles son las garantías ?#ColombiaDecide2018#ColombiaDecide#ColombiaElige  https://twitter.com/FVR97943943/status/1000536562105442304/photo/1 pic.twitter.com/WnNcBWcnqN ,0,,0,,"['#ColombiaDecide2018', '#ColombiaDecide', '#ColombiaElige']",https://twitter.com/FVR97943943/status/1000539818210811910,False,
1000539595619135489,2018-05-26,19:50:03,-05,10012122,bbcmundo,¿Por qué en Colombia nunca triunfó un candidato de izquierda y podrá Gustavo Petro romper esta tendencia? #ColombiaDecide https://bbc.in/2IQL728  pic.twitter.com/H4YsNMD68w,17,,41,,['#ColombiaDecide'],https://twitter.com/bbcmundo/status/1000539595619135489,False,
1000539568725200896,2018-05-26,19:49:56,-05,2834278551,ArnulfoBetancur,El yeyo que le hizo dar éste a @ZuluagaCamila.#ColombiaDecide#DuqueEnPrimeraVuelta https://twitter.com/angelagarzonc/status/1000481228158636032 …,0,,0,,"['#ColombiaDecide', '#DuqueEnPrimeraVuelta']",https://twitter.com/ArnulfoBetancur/status/1000539568725200896,False,
1000539508427935749,2018-05-26,19:49:42,-05,115730281,Eco_Huellas,"Mañana nueva cita con la democracia #AvotarTod@s. #ColombiaDecideSi presentas tu certificado electoral en Ecohuellas la cabaña, obtendrás un espectacular descuento en nuestro Hotel, del 10%. Redimible en los meses de  agosto y septiembre de 2018. Salgamos tod@s a votar.",0,,0,,"['#AvotarTod', '#ColombiaDecideSi']",https://twitter.com/Eco_Huellas/status/1000539508427935749,False,
1000539464677117953,2018-05-26,19:49:32,-05,317318940,8verona,"Vamos pueblo, votemos masivamente en las urnas mañana 27 de Mayo, los ciudadanos de bien somos más! No permitamos que decidan por nosotros. #DuquePresidente #MartaLuciaVicepresidente@CeDemocratico #ColombiaDecide  pic.twitter.com/zkOdvO9tQf",0,,11,,"['#DuquePresidente', '#MartaLuciaVicepresidente', '#ColombiaDecide']",https://twitter.com/8verona/status/1000539464677117953,False,
